rxnid,Reactant1,Reactant2,Product,Additive,Solvent,Yield
train1,c1ccc2c(c1)Nc1ccccc1O2,Brc1ccccc1I,Brc1ccccc1N1c2ccccc2Oc2ccccc21,CC(C)(C)[O-].CC(C)(C)[PH+](C(C)(C)C)C(C)(C)C.F[B-](F)(F)F.F[B-](F)(F)F.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[H+].[Na+].[Pd],Cc1ccccc1,0.78
train2,c1ccc2c(c1)Nc1ccccc1O2,Brc1ccccc1I,Brc1ccccc1N1c2ccccc2Oc2ccccc21,C1COCCOCCOCCOCCOCCO1.O=C([O-])[O-].[Cu+].[I-].[K+].[K+],Clc1ccccc1Cl,0.9
train3,c1ccc2c(c1)Nc1ccccc1O2,Brc1ccccc1I,Brc1ccccc1N1c2ccccc2Oc2ccccc21,CC(=O)[O-].CC(=O)[O-].CC(C)(C)[O-].CC(C)(C)[PH+](C(C)(C)C)C(C)(C)C.F[B-](F)(F)F.F[B-](F)(F)F.[H+].[Na+].[Pd+2],CC1(C)C=CC=CC1,0.8464
train4,C1COCCN1,Fc1cnc(Cl)nc1Cl,Fc1cnc(Cl)nc1N1CCOCC1,CCN(C(C)C)C(C)C,CCO,0.95
train5,C1COCCN1,Fc1cnc(Cl)nc1Cl,Fc1cnc(Cl)nc1N1CCOCC1,CCN(C(C)C)C(C)C,CN(C)C=O,0.85
train6,C1CNCCN1,FC(F)(F)c1ccc(Cl)nc1,FC(F)(F)c1ccc(N2CCN(c3ccc(C(F)(F)F)cn3)CC2)nc1,CCN(CC)CC,C1CCOC1,0.72
train7,CNCCO,Fc1sc(-c2ccc(Cl)cc2)nc1C(F)(F)F,CN(CCO)c1sc(-c2ccc(Cl)cc2)nc1C(F)(F)F,CCN(CC)CC,CC#N,0.57
train8,c1ccc2[nH]ccc2c1,Fc1ccc(I)cc1,Fc1ccc(-n2ccc3ccccc32)cc1,O=C(O)[C@@H]1CCCN1.O=C([O-])[O-].[Cu+].[I-].[K+].[K+],CS(C)=O.CS(C)=O,0.81
train9,c1ccc2[nH]ccc2c1,Fc1ccc(I)cc1,Fc1ccc(-n2ccc3ccccc32)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],Cc1ccccc1,0.91
train10,c1ccc2[nH]ccc2c1,Fc1ccc(I)cc1,Fc1ccc(-n2ccc3ccccc32)cc1,O=C(O)[C@@H]1CCCN1.O=C([O-])[O-].[Cu+].[I-].[K+].[K+],CS(C)=O,0.81
train11,Fc1ccc2[nH]ccc2c1,Fc1ccc(I)cc1,Fc1ccc(-n2ccc3cc(F)ccc32)cc1,O=C(O)[C@@H]1CCCN1.O=C([O-])[O-].[Cu+2].[I-].[I-].[K+].[K+],CS(C)=O.CS(C)=O,0.85
train12,Fc1ccc2[nH]ccc2c1,Fc1ccc(I)cc1,Fc1ccc(-n2ccc3cc(F)ccc32)cc1,CSCC[C@H](N)C(=O)O.O=C([O-])[O-].[Cu+2].[I-].[I-].[K+].[K+],CN(C)C=O,0.81
train13,Fc1ccc2[nH]ccc2c1,Fc1ccc(I)cc1,Fc1ccc(-n2ccc3cc(F)ccc32)cc1,O=C([O-])[O-].O=C[C@@H]1CCCN1.[Cu+2].[I-].[I-].[K+].[K+],CS(C)=O,0.75
train14,CC(=O)Nc1cccnc1,FC(F)(F)c1ccccc1Br,CC(=O)N(c1cccnc1)c1ccccc1C(F)(F)F,O=C([O-])[O-].[Cl-].[Cl-].[Cu+2].[K+].[K+],Cc1ccc(C)cc1,0.22
train15,CCOC(=O)N1CCNCC1,CSc1nc(Cl)ncc1F,CCOC(=O)N1CCN(c2ncc(F)c(SC)n2)CC1,O=C([O-])[O-].[I-].[K+].[K+].[K+],CC#N,0.62
train16,COCCNN,FC(F)(F)c1ccc2oc(Cl)nc2c1,COCCN(N)c1nc2cc(C(F)(F)F)ccc2o1.Cl,CCN(CC)CC,C1COCCO1,0.39
train17,CCOC(=O)CCNC1CC1,CCOC(=O)c1cc(F)c(Sc2ccc(C)cc2)nc1Cl,CCOC(=O)CCN(c1nc(Sc2ccc(C)cc2)c(F)cc1C(=O)OCC)C1CC1,O=C([O-])O.[Na+],CN(C)C=O,0.23
train18,CC(C)NC(C)C,Fc1nc(F)c(Cl)c(F)c1Cl,CC(C)N(c1nc(F)c(Cl)c(F)c1Cl)C(C)C,[Li]CCCC,C1CCOC1,0.18
train19,c1ccc(Nc2ccccc2)cc1,Clc1ccc(I)cc1,Clc1ccc(N(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],Cc1ccc(C)cc1,0.81
train20,c1ccc(Nc2ccccc2)cc1,Clc1ccc(I)cc1,Clc1ccc(N(c2ccccc2)c2ccccc2)cc1,O=P([O-])([O-])[O-].Oc1cccc2cccnc12.[Cl-].[Cl-].[Cu+2].[K+].[K+].[K+],CN(C)C=O,0.89
train21,c1ccc(Nc2ccccc2)cc1,Brc1ccccc1I,Brc1ccccc1N(c1ccccc1)c1ccccc1,O=C([O-])[O-].[Cl-].[Cl-].[Cu+2].[K+].[K+],CS(C)=O,0.837
