rxnid,Yield
test1,0.6366
test2,0.6366
test3,0.6366
test4,0.6366
test5,0.6365
test6,0.6366
test7,0.6365
test8,0.6366
test9,0.6366
test10,0.6366
test11,0.6366
test12,0.6366
test13,0.6366
test14,0.6366
test15,0.6365
test16,0.6366
test17,0.6379
test18,0.6366
test19,0.6366
test20,0.6366
test21,0.6366
test22,0.6365
test23,0.6366
test24,0.6365
test25,0.6366
test26,0.6366
test27,0.6366
test28,0.6366
test29,0.6366
test30,0.6365
test31,0.6366
test32,0.6366
test33,0.6379
test34,0.6379
test35,0.6379
test36,0.6379
test37,0.6379
test38,0.6379
test39,0.6379
test40,0.6379
test41,0.6379
test42,0.6379
test43,0.6379
test44,0.6379
test45,0.6379
test46,0.6379
test47,0.6379
test48,0.6379
test49,0.6379
test50,0.6379
test51,0.6379
test52,0.6379
test53,0.6379
test54,0.6379
test55,0.6379
test56,0.6379
test57,0.6379
test58,0.6379
test59,0.6379
test60,0.6379
test61,0.6321
test62,0.6379
test63,0.6379
test64,0.6379
test65,0.6379
test66,0.6379
test67,0.6379
test68,0.6379
test69,0.6379
test70,0.6379
test71,0.6379
test72,0.6379
test73,0.6379
test74,0.6379
test75,0.6379
test76,0.6379
test77,0.6379
test78,0.6379
test79,0.6379
test80,0.6379
test81,0.6379
test82,0.6379
test83,0.6379
test84,0.6379
test85,0.6379
test86,0.6379
test87,0.6379
test88,0.6379
test89,0.6379
test90,0.6366
test91,0.6379
test92,0.6379
test93,0.6379
test94,0.6379
test95,0.6379
test96,0.6379
test97,0.6366
test98,0.6366
test99,0.6366
test100,0.6365
test101,0.6366
test102,0.6366
test103,0.6366
test104,0.6366
test105,0.6366
test106,0.6366
test107,0.6366
test108,0.6365
test109,0.6366
test110,0.6366
test111,0.6365
test112,0.6366
test113,0.6366
test114,0.6366
test115,0.6366
test116,0.6365
test117,0.6366
test118,0.6366
test119,0.6366
test120,0.6366
test121,0.6366
test122,0.6366
test123,0.6366
test124,0.6366
test125,0.6379
test126,0.6366
test127,0.6366
test128,0.6366
test129,0.6379
test130,0.6379
test131,0.6379
test132,0.6379
test133,0.6379
test134,0.6379
test135,0.6379
test136,0.6379
test137,0.6379
test138,0.6379
test139,0.6379
test140,0.6379
test141,0.6379
test142,0.6379
test143,0.6379
test144,0.6379
test145,0.6379
test146,0.6379
test147,0.6379
test148,0.6379
test149,0.6379
test150,0.6379
test151,0.6379
test152,0.6379
test153,0.6379
test154,0.6379
test155,0.6379
test156,0.6366
test157,0.6379
test158,0.6379
test159,0.6379
test160,0.6379
test161,0.6379
test162,0.6379
test163,0.6379
test164,0.6379
test165,0.6379
test166,0.6379
test167,0.6379
test168,0.6379
test169,0.6379
test170,0.6379
test171,0.6379
test172,0.6379
test173,0.6320
test174,0.6379
test175,0.6379
test176,0.6379
test177,0.6379
test178,0.6379
test179,0.6379
test180,0.6379
test181,0.6379
test182,0.6379
test183,0.6379
test184,0.6379
test185,0.6379
test186,0.6379
test187,0.6379
test188,0.6379
test189,0.6379
test190,0.6379
test191,0.6379
test192,0.6379
test193,0.6366
test194,0.6366
test195,0.6366
test196,0.6365
test197,0.6366
test198,0.6366
test199,0.6366
test200,0.6366
test201,0.6366
test202,0.6366
test203,0.6366
test204,0.6366
test205,0.6366
test206,0.6366
test207,0.6366
test208,0.6366
test209,0.6366
test210,0.6366
test211,0.6366
test212,0.6366
test213,0.6379
test214,0.6366
test215,0.6366
test216,0.6366
test217,0.6366
test218,0.6366
test219,0.6366
test220,0.6366
test221,0.6366
test222,0.6366
test223,0.6366
test224,0.6365
test225,0.6395
test226,0.6395
test227,0.6395
test228,0.6394
test229,0.6394
test230,0.6394
test231,0.6394
test232,0.6394
test233,0.6394
test234,0.6394
test235,0.6321
test236,0.6394
test237,0.6395
test238,0.6394
test239,0.6394
test240,0.6395
test241,0.6394
test242,0.6394
test243,0.6394
test244,0.6394
test245,0.6394
test246,0.6394
test247,0.6394
test248,0.6394
test249,0.6394
test250,0.6394
test251,0.6394
test252,0.6394
test253,0.6394
test254,0.6394
test255,0.6394
test256,0.6395
test257,0.6365
test258,0.6365
test259,0.6379
test260,0.6366
test261,0.6366
test262,0.6366
test263,0.6365
test264,0.6366
test265,0.6365
test266,0.6366
test267,0.6366
test268,0.6366
test269,0.6366
test270,0.6366
test271,0.6366
test272,0.6365
test273,0.6366
test274,0.6366
test275,0.6366
test276,0.6366
test277,0.6366
test278,0.6366
test279,0.6366
test280,0.6366
test281,0.6366
test282,0.6365
test283,0.6366
test284,0.6366
test285,0.6365
test286,0.6366
test287,0.6366
test288,0.6366
test289,0.6365
test290,0.6366
test291,0.6366
test292,0.6365
test293,0.6366
test294,0.6366
test295,0.6366
test296,0.6366
test297,0.6366
test298,0.6366
test299,0.6365
test300,0.6366
test301,0.6366
test302,0.6379
test303,0.6365
test304,0.6365
test305,0.6366
test306,0.6366
test307,0.6366
test308,0.6366
test309,0.6366
test310,0.6366
test311,0.6366
test312,0.6365
test313,0.6366
test314,0.6366
test315,0.6365
test316,0.6366
test317,0.6366
test318,0.6366
test319,0.6366
test320,0.6366
test321,0.6379
test322,0.6379
test323,0.6379
test324,0.6379
test325,0.6379
test326,0.6379
test327,0.6379
test328,0.6379
test329,0.6379
test330,0.6379
test331,0.6379
test332,0.6379
test333,0.6379
test334,0.6379
test335,0.6379
test336,0.6379
test337,0.6379
test338,0.6379
test339,0.6379
test340,0.6379
test341,0.6379
test342,0.6379
test343,0.6379
test344,0.6379
test345,0.6379
test346,0.6379
test347,0.6321
test348,0.6379
test349,0.6379
test350,0.6379
test351,0.6379
test352,0.6379
test353,0.6321
test354,0.6322
test355,0.6321
test356,0.6322
test357,0.6320
test358,0.6321
test359,0.6321
test360,0.6321
test361,0.6321
test362,0.6322
test363,0.6321
test364,0.6321
test365,0.6321
test366,0.6320
test367,0.6321
test368,0.6321
test369,0.6321
test370,0.6320
test371,0.6321
test372,0.6321
test373,0.6321
test374,0.6321
test375,0.6320
test376,0.6321
test377,0.6322
test378,0.6321
test379,0.6321
test380,0.6321
test381,0.6321
test382,0.6365
test383,0.6322
test384,0.6320
test385,0.6366
test386,0.6379
test387,0.6366
test388,0.6365
test389,0.6365
test390,0.6366
test391,0.6366
test392,0.6366
test393,0.6366
test394,0.6366
test395,0.6366
test396,0.6366
test397,0.6366
test398,0.6366
test399,0.6366
test400,0.6366
test401,0.6366
test402,0.6366
test403,0.6366
test404,0.6366
test405,0.6366
test406,0.6366
test407,0.6366
test408,0.6366
test409,0.6366
test410,0.6366
test411,0.6366
test412,0.6366
test413,0.6366
test414,0.6366
test415,0.6366
test416,0.6366
test417,0.6365
test418,0.6366
test419,0.6366
test420,0.6366
test421,0.6366
test422,0.6366
test423,0.6366
test424,0.6366
test425,0.6366
test426,0.6379
test427,0.6366
test428,0.6366
test429,0.6365
test430,0.6366
test431,0.6366
test432,0.6366
test433,0.6366
test434,0.6366
test435,0.6366
test436,0.6366
test437,0.6366
test438,0.6366
test439,0.6366
test440,0.6366
test441,0.6366
test442,0.6366
test443,0.6366
test444,0.6365
test445,0.6366
test446,0.6366
test447,0.6365
test448,0.6366
test449,0.6379
test450,0.6379
test451,0.6379
test452,0.6379
test453,0.6379
test454,0.6379
test455,0.6379
test456,0.6379
test457,0.6379
test458,0.6379
test459,0.6379
test460,0.6379
test461,0.6379
test462,0.6379
test463,0.6379
test464,0.6379
test465,0.6379
test466,0.6379
test467,0.6379
test468,0.6379
test469,0.6379
test470,0.6379
test471,0.6379
test472,0.6379
test473,0.6379
test474,0.6365
test475,0.6379
test476,0.6379
test477,0.6379
test478,0.6379
test479,0.6379
test480,0.6379
test481,0.6394
test482,0.6394
test483,0.6395
test484,0.6394
test485,0.6394
test486,0.6395
test487,0.6394
test488,0.6394
test489,0.6394
test490,0.6394
test491,0.6394
test492,0.6394
test493,0.6394
test494,0.6394
test495,0.6394
test496,0.6395
test497,0.6394
test498,0.6394
test499,0.6394
test500,0.6395
test501,0.6395
test502,0.6394
test503,0.6395
test504,0.6395
test505,0.6394
test506,0.6394
test507,0.6394
test508,0.6394
test509,0.6394
test510,0.6321
test511,0.6394
test512,0.6394
test513,0.6366
test514,0.6366
test515,0.6366
test516,0.6366
test517,0.6366
test518,0.6366
test519,0.6366
test520,0.6365
test521,0.6366
test522,0.6366
test523,0.6366
test524,0.6366
test525,0.6366
test526,0.6366
test527,0.6366
test528,0.6366
test529,0.6366
test530,0.6366
test531,0.6366
test532,0.6366
test533,0.6366
test534,0.6366
test535,0.6365
test536,0.6365
test537,0.6366
test538,0.6366
test539,0.6366
test540,0.6395
test541,0.6366
test542,0.6366
test543,0.6366
test544,0.6366
test545,0.6321
test546,0.6321
test547,0.6321
test548,0.6322
test549,0.6321
test550,0.6321
test551,0.6321
test552,0.6321
test553,0.6320
test554,0.6321
test555,0.6394
test556,0.6320
test557,0.6321
test558,0.6320
test559,0.6320
test560,0.6320
test561,0.6321
test562,0.6319
test563,0.6322
test564,0.6320
test565,0.6322
test566,0.6322
test567,0.6317
test568,0.6322
test569,0.6320
test570,0.6321
test571,0.6321
test572,0.6321
test573,0.6317
test574,0.6321
test575,0.6321
test576,0.6321
test577,0.6365
test578,0.6366
test579,0.6366
test580,0.6366
test581,0.6365
test582,0.6366
test583,0.6366
test584,0.6366
test585,0.6366
test586,0.6366
test587,0.6366
test588,0.6365
test589,0.6366
test590,0.6366
test591,0.6365
test592,0.6366
test593,0.6365
test594,0.6366
test595,0.6366
test596,0.6366
test597,0.6366
test598,0.6366
test599,0.6366
test600,0.6366
test601,0.6366
test602,0.6366
test603,0.6366
test604,0.6365
test605,0.6366
test606,0.6366
test607,0.6395
test608,0.6366
test609,0.6379
test610,0.6379
test611,0.6379
test612,0.6379
test613,0.6379
test614,0.6379
test615,0.6366
test616,0.6379
test617,0.6379
test618,0.6379
test619,0.6379
test620,0.6379
test621,0.6379
test622,0.6379
test623,0.6379
test624,0.6379
test625,0.6379
test626,0.6379
test627,0.6379
test628,0.6379
test629,0.6379
test630,0.6379
test631,0.6379
test632,0.6379
test633,0.6379
test634,0.6379
test635,0.6379
test636,0.6379
test637,0.6379
test638,0.6379
test639,0.6379
test640,0.6379
test641,0.6321
test642,0.6320
test643,0.6321
test644,0.6395
test645,0.6321
test646,0.6321
test647,0.6321
test648,0.6320
test649,0.6322
test650,0.6320
test651,0.6321
test652,0.6320
test653,0.6321
test654,0.6322
test655,0.6321
test656,0.6321
test657,0.6320
test658,0.6321
test659,0.6319
test660,0.6322
test661,0.6320
test662,0.6321
test663,0.6322
test664,0.6322
test665,0.6321
test666,0.6320
test667,0.6321
test668,0.6321
test669,0.6321
test670,0.6321
test671,0.6320
test672,0.6322
test673,0.6366
test674,0.6366
test675,0.6366
test676,0.6366
test677,0.6366
test678,0.6366
test679,0.6365
test680,0.6366
test681,0.6366
test682,0.6366
test683,0.6366
test684,0.6366
test685,0.6366
test686,0.6366
test687,0.6366
test688,0.6366
test689,0.6366
test690,0.6366
test691,0.6366
test692,0.6366
test693,0.6365
test694,0.6366
test695,0.6366
test696,0.6366
test697,0.6366
test698,0.6366
test699,0.6366
test700,0.6366
test701,0.6366
test702,0.6366
test703,0.6366
test704,0.6394
test705,0.6379
test706,0.6379
test707,0.6379
test708,0.6379
test709,0.6379
test710,0.6379
test711,0.6379
test712,0.6379
test713,0.6365
test714,0.6379
test715,0.6379
test716,0.6379
test717,0.6379
test718,0.6379
test719,0.6379
test720,0.6379
test721,0.6379
test722,0.6379
test723,0.6379
test724,0.6379
test725,0.6379
test726,0.6379
test727,0.6379
test728,0.6379
test729,0.6379
test730,0.6379
test731,0.6379
test732,0.6379
test733,0.6379
test734,0.6379
test735,0.6379
test736,0.6379
test737,0.6379
test738,0.6379
test739,0.6379
test740,0.6379
test741,0.6379
test742,0.6379
test743,0.6379
test744,0.6379
test745,0.6379
test746,0.6379
