rxnid,Yield
test1,0.6851
test2,0.6216
test3,0.6197
test4,0.6085
test5,0.6880
test6,0.7105
test7,0.7249
test8,0.6232
test9,0.5075
test10,0.7268
test11,0.5926
test12,0.5332
test13,0.6584
test14,0.5315
test15,0.6051
test16,0.5726
test17,0.6276
test18,0.5705
test19,0.4949
test20,0.6817
test21,0.6387
test22,0.4347
test23,0.4580
test24,0.5219
test25,0.6139
test26,0.7043
test27,0.7062
test28,0.6440
test29,0.5954
test30,0.5061
test31,0.6584
test32,0.6791
test33,0.6315
test34,0.7113
test35,0.5491
test36,0.3729
test37,0.6502
test38,0.6253
test39,0.3859
test40,0.6364
test41,0.6161
test42,0.6176
test43,0.5468
test44,0.6074
test45,0.6379
test46,0.6651
test47,0.7178
test48,0.5332
test49,0.6032
test50,0.6647
test51,0.5604
test52,0.6076
test53,0.4927
test54,0.5012
test55,0.7106
test56,0.5573
test57,0.7105
test58,0.5397
test59,0.5928
test60,0.5851
test61,0.6197
test62,0.5278
test63,0.4196
test64,0.6496
test65,0.6883
test66,0.6358
test67,0.5322
test68,0.4862
test69,0.5646
test70,0.6458
test71,0.6235
test72,0.6222
test73,0.5752
test74,0.6436
test75,0.6942
test76,0.6647
test77,0.6615
test78,0.4535
test79,0.5408
test80,0.6036
test81,0.5850
test82,0.6862
test83,0.5880
test84,0.7165
test85,0.5750
test86,0.6434
test87,0.5419
test88,0.6645
test89,0.6420
test90,0.5459
test91,0.7105
test92,0.7381
test93,0.7020
test94,0.2707
test95,0.5725
test96,0.6928
test97,0.6435
test98,0.7113
test99,0.6759
test100,0.4023
test101,0.6783
test102,0.6861
test103,0.6584
test104,0.6551
test105,0.7081
test106,0.6258
test107,0.7009
test108,0.6292
test109,0.5582
test110,0.6392
test111,0.5502
test112,0.7388
test113,0.7105
test114,0.7288
test115,0.7105
test116,0.7166
test117,0.7169
test118,0.6249
test119,0.6899
test120,0.7250
test121,0.5674
test122,0.7234
test123,0.7547
test124,0.6041
test125,0.5690
test126,0.7207
test127,0.6424
test128,0.6764
test129,0.6732
test130,0.5893
test131,0.5026
test132,0.4659
test133,0.5990
test134,0.6157
test135,0.6245
test136,0.5928
test137,0.5354
test138,0.6585
test139,0.7275
test140,0.6194
test141,0.6748
test142,0.6310
test143,0.5601
test144,0.6836
test145,0.6475
test146,0.7049
test147,0.5725
test148,0.3329
test149,0.5929
test150,0.6906
test151,0.6596
test152,0.5918
test153,0.6910
test154,0.6883
test155,0.6424
test156,0.5335
test157,0.7268
test158,0.6995
test159,0.7113
test160,0.6399
test161,0.6481
test162,0.5307
test163,0.6689
test164,0.6657
test165,0.5028
test166,0.6665
test167,0.4857
test168,0.7285
test169,0.6226
test170,0.6199
test171,0.6055
test172,0.4681
test173,0.4305
test174,0.7097
test175,0.6847
test176,0.5187
test177,0.6435
test178,0.4954
test179,0.6850
test180,0.6482
test181,0.4475
test182,0.5613
test183,0.6040
test184,0.5745
test185,0.6863
test186,0.4957
test187,0.5397
test188,0.6312
test189,0.6869
test190,0.5355
test191,0.6289
test192,0.6442
test193,0.5472
test194,0.5547
test195,0.7207
test196,0.6206
test197,0.6434
test198,0.6059
test199,0.7165
test200,0.6537
test201,0.6493
test202,0.5520
test203,0.5882
test204,0.6602
test205,0.7105
test206,0.6868
test207,0.6370
test208,0.6836
test209,0.4628
test210,0.5138
test211,0.6406
test212,0.7065
test213,0.5432
test214,0.6348
test215,0.5302
test216,0.6510
test217,0.6846
test218,0.6895
test219,0.5994
test220,0.7165
test221,0.5809
test222,0.6764
test223,0.7338
test224,0.6748
test225,0.7021
test226,0.5350
test227,0.6307
test228,0.6766
test229,0.5330
test230,0.6921
test231,0.6885
test232,0.5536
test233,0.6193
test234,0.6627
test235,0.4437
test236,0.7024
test237,0.7068
test238,0.5248
test239,0.6417
test240,0.7080
test241,0.7768
test242,0.5110
test243,0.7376
test244,0.6302
test245,0.5397
test246,0.5298
test247,0.6961
test248,0.6019
test249,0.6239
test250,0.6811
test251,0.5292
test252,0.6007
test253,0.6891
test254,0.6180
test255,0.4120
test256,0.7113
test257,0.3672
test258,0.6465
test259,0.5540
test260,0.6129
test261,0.5253
test262,0.6752
test263,0.5793
test264,0.6584
test265,0.5123
test266,0.6032
test267,0.6649
test268,0.5631
test269,0.7105
test270,0.6877
test271,0.5333
test272,0.6540
test273,0.6880
test274,0.6872
test275,0.6721
test276,0.6304
test277,0.7638
test278,0.6216
test279,0.7195
test280,0.6902
test281,0.6414
test282,0.6540
test283,0.6627
test284,0.6220
test285,0.6317
test286,0.6611
test287,0.5596
test288,0.7362
test289,0.5772
test290,0.6119
test291,0.6449
test292,0.5412
