rxnid,Yield
test1,0.5545
test2,0.8431
test3,0.5411
test4,0.4934
test5,0.7741
test6,0.9442
test7,0.6654
test8,0.7777
test9,0.2720
test10,0.8627
test11,0.4797
test12,0.6391
test13,0.9839
test14,0.6987
test15,0.7964
test16,0.7553
test17,0.4267
test18,0.1318
test19,0.4754
test20,0.4821
test21,0.7480
test22,0.6795
test23,0.4409
test24,0.1894
test25,0.5967
test26,0.6565
test27,0.7134
test28,0.6566
test29,0.4198
test30,0.4669
test31,0.7519
test32,0.7777
test33,0.8693
test34,0.7631
test35,0.4538
test36,0.0168
test37,0.7941
test38,0.4029
test39,0.1395
test40,0.0790
test41,0.7681
test42,0.8119
test43,0.2823
test44,0.8750
test45,0.7143
test46,0.9646
test47,0.6101
test48,0.5296
test49,0.6509
test50,0.7319
test51,0.5530
test52,0.4657
test53,0.5953
test54,0.6851
test55,0.6377
test56,0.4510
test57,0.9133
test58,0.4611
test59,0.8938
test60,0.5549
test61,0.6316
test62,0.6508
test63,0.1675
test64,0.5918
test65,0.8375
test66,0.3648
test67,0.7479
test68,0.2199
test69,0.4802
test70,0.6896
test71,0.5566
test72,0.7191
test73,0.4802
test74,0.5379
test75,0.5930
test76,0.4283
test77,0.4157
test78,0.2413
test79,0.5892
test80,0.0776
test81,0.7489
test82,0.3727
test83,0.1272
test84,0.7561
test85,0.7417
test86,0.9646
test87,0.6073
test88,0.4165
test89,0.6313
test90,0.6216
test91,0.5775
test92,0.7064
test93,0.6765
test94,0.2216
test95,0.5267
test96,0.3837
test97,0.6657
test98,0.9741
test99,0.4234
test100,0.0793
test101,0.7374
test102,0.3278
test103,0.8521
test104,0.8131
test105,0.7493
test106,0.9380
test107,0.7195
test108,0.6554
test109,0.5218
test110,0.4215
test111,0.4413
test112,0.7823
test113,0.9939
test114,0.7727
test115,0.9894
test116,0.6990
test117,0.8093
test118,0.6094
test119,0.8164
test120,0.9204
test121,0.5602
test122,0.7525
test123,0.5380
test124,0.4165
test125,0.7359
test126,0.7361
test127,0.7004
test128,0.8006
test129,0.6344
test130,0.7334
test131,0.8371
test132,0.5407
test133,0.7329
test134,0.7166
test135,0.5445
test136,0.4121
test137,0.5118
test138,0.7367
test139,0.7786
test140,0.5861
test141,0.9078
test142,0.5922
test143,0.5791
test144,0.3685
test145,0.7659
test146,0.3827
test147,0.4892
test148,0.2540
test149,0.5268
test150,0.6693
test151,0.8742
test152,0.7489
test153,0.7828
test154,0.7098
test155,0.5467
test156,0.3545
test157,0.7077
test158,0.9292
test159,0.9565
test160,0.4598
test161,0.5484
test162,0.4874
test163,0.8148
test164,0.2678
test165,0.4489
test166,0.8061
test167,0.2597
test168,0.7634
test169,0.5388
test170,0.3697
test171,0.6853
test172,0.7125
test173,0.4077
test174,0.6068
test175,0.8718
test176,0.7022
test177,0.5570
test178,0.6055
test179,0.4852
test180,0.6446
test181,0.3189
test182,0.4554
test183,0.6975
test184,0.5513
test185,0.5243
test186,0.3875
test187,0.7288
test188,0.2962
test189,0.7383
test190,0.4398
test191,0.7079
test192,0.7405
test193,0.4385
test194,0.5569
test195,0.8422
test196,0.6712
test197,0.9439
test198,0.4022
test199,0.8301
test200,0.6056
test201,0.5389
test202,0.7797
test203,0.6663
test204,0.5707
test205,0.7985
test206,0.9099
test207,0.5488
test208,0.4591
test209,0.6513
test210,0.1708
test211,0.3016
test212,0.7306
test213,0.6370
test214,0.6820
test215,0.2920
test216,0.9973
test217,0.4946
test218,0.5698
test219,0.5494
test220,0.6158
test221,0.6518
test222,0.3911
test223,0.4214
test224,0.5261
test225,0.8482
test226,0.6378
test227,0.4024
test228,0.8745
test229,0.8157
test230,0.7377
test231,0.7505
test232,0.4652
test233,0.5234
test234,0.5578
test235,0.2725
test236,0.6829
test237,0.7173
test238,0.5498
test239,0.8600
test240,0.7374
test241,0.7982
test242,0.1562
test243,0.8313
test244,0.6994
test245,0.2615
test246,0.5709
test247,0.6136
test248,0.7569
test249,0.7104
test250,0.6130
test251,0.4172
test252,0.4087
test253,0.5992
test254,0.4946
test255,0.2384
test256,0.7794
test257,0.0443
test258,0.6047
test259,0.4997
test260,0.4684
test261,0.6270
test262,0.4615
test263,0.6137
test264,0.9565
test265,0.0963
test266,0.6778
test267,0.5131
test268,0.6799
test269,0.7801
test270,0.7078
test271,0.2082
test272,0.7955
test273,0.8431
test274,0.9845
test275,0.7907
test276,0.5856
test277,0.8765
test278,0.2229
test279,0.7628
test280,0.6027
test281,0.7742
test282,0.4257
test283,0.3369
test284,0.7326
test285,0.6077
test286,0.3693
test287,0.7923
test288,0.8416
test289,0.6212
test290,0.6054
test291,0.5477
test292,0.6173
test293,0.5082
test294,0.6410
test295,0.3794
test296,0.0726
test297,0.8049
test298,0.4684
test299,0.2467
test300,0.5580
test301,0.6402
test302,0.5511
test303,0.8460
test304,0.7836
test305,0.8181
test306,0.7699
test307,0.6175
test308,0.9374
test309,0.8339
test310,0.8298
test311,0.5460
test312,0.5325
test313,0.6657
test314,0.5926
test315,0.6369
test316,0.1970
test317,0.6864
test318,0.3938
test319,0.8973
test320,0.5459
test321,0.6268
test322,0.7822
test323,0.5482
test324,0.3308
test325,0.5283
test326,0.7309
test327,0.8745
test328,0.8496
test329,0.7440
test330,0.6930
test331,0.5837
test332,0.8915
test333,0.7754
test334,0.6899
test335,0.4812
test336,0.7895
test337,0.7253
test338,0.8251
test339,0.8236
test340,0.5657
test341,0.8570
test342,0.3265
test343,0.5719
test344,0.4721
test345,0.5051
test346,0.6599
test347,0.6720
test348,0.8267
test349,0.6838
test350,0.5711
test351,0.5283
test352,0.1528
test353,0.8335
test354,0.2601
test355,0.5934
test356,0.2611
test357,0.9723
test358,0.5837
test359,0.9428
test360,0.3578
test361,0.3051
test362,0.9476
test363,0.5424
test364,0.8197
test365,0.1594
test366,0.3769
test367,0.7459
test368,0.7487
test369,0.6555
test370,0.3495
test371,0.9860
test372,0.2482
test373,0.4762
test374,0.6904
test375,0.4287
test376,0.5507
test377,0.8264
test378,0.5312
test379,0.4912
test380,0.8660
test381,0.6574
test382,0.0308
test383,0.7899
test384,0.6427
test385,0.6730
test386,0.3149
test387,0.9822
test388,0.8132
test389,0.2659
test390,0.6199
test391,0.6165
test392,0.7519
test393,0.6796
test394,0.5994
test395,0.4142
test396,0.7854
test397,0.4620
test398,0.5379
test399,0.4526
test400,0.4966
test401,0.8254
test402,0.4891
test403,0.7054
test404,0.5169
test405,0.5051
test406,0.6400
test407,0.8532
test408,0.9545
test409,0.6165
test410,0.7434
test411,0.6260
test412,0.5742
test413,0.5279
test414,0.7104
test415,0.7963
test416,0.4015
test417,0.7995
test418,0.3739
test419,0.8293
test420,0.9292
test421,0.6492
test422,0.6027
test423,0.7951
test424,0.6622
test425,0.8058
test426,0.6388
test427,0.6040
test428,0.2953
test429,0.2955
test430,0.1634
test431,0.5860
test432,0.5749
test433,0.3620
test434,0.7403
test435,0.9169
test436,0.5625
test437,0.6761
test438,0.8464
test439,0.5892
test440,0.4678
test441,0.8963
test442,0.7466
test443,0.7348
test444,0.4244
test445,0.6042
test446,0.6700
test447,0.3965
test448,0.7583
test449,0.3803
test450,0.6622
test451,0.6838
test452,0.6650
test453,0.8391
test454,0.8360
test455,0.6608
test456,0.4267
test457,0.5974
test458,0.7569
test459,0.6008
test460,0.6697
test461,0.5303
test462,0.7788
test463,0.6864
test464,0.9305
test465,0.7090
test466,0.4985
test467,0.5368
test468,0.4052
test469,0.8177
test470,0.8681
test471,0.8396
test472,0.7373
test473,0.5794
test474,0.7464
test475,0.7759
test476,0.5332
test477,0.5786
test478,0.6823
test479,0.4580
test480,0.3687
test481,0.5315
test482,0.4265
test483,0.3584
test484,0.6595
test485,0.6029
test486,0.7271
test487,0.6111
test488,0.3969
test489,0.8310
test490,0.7112
test491,0.7929
test492,0.7835
test493,0.4785
test494,0.6812
test495,0.6140
test496,0.2729
test497,0.3419
test498,0.9864
test499,0.7728
test500,0.4844
test501,0.7199
test502,0.3531
test503,0.6926
test504,0.7995
test505,0.4916
test506,0.8613
test507,0.8814
test508,0.7038
test509,0.7483
test510,0.3400
test511,0.4780
test512,0.5475
test513,0.6317
test514,0.7888
test515,0.7398
test516,0.5789
test517,0.6121
test518,0.7906
test519,0.8138
test520,0.3556
test521,0.3206
test522,0.3055
test523,0.8987
test524,0.5562
test525,0.4392
test526,0.2456
test527,0.1434
test528,0.7317
test529,0.8398
test530,0.7233
test531,0.6657
test532,0.9556
test533,0.7331
test534,0.5353
test535,0.0841
test536,0.7330
test537,0.4107
test538,0.8393
test539,0.4777
test540,0.5315
test541,0.7126
test542,0.6011
test543,0.2252
test544,0.7332
test545,0.6384
test546,0.8688
test547,0.6530
test548,0.6918
test549,0.4062
test550,0.5452
test551,0.9015
test552,0.5572
test553,0.4335
test554,0.5498
test555,0.6965
test556,0.7111
test557,0.6675
test558,0.3816
test559,0.7722
test560,0.9073
test561,0.7162
test562,0.6561
test563,0.7431
