rxnid,Yield
test1,0.5118
test2,0.8170
test3,0.5497
test4,0.6013
test5,0.4552
test6,0.8120
test7,0.7187
test8,0.5838
test9,0.2917
test10,0.9588
test11,0.5738
test12,0.8396
test13,0.9587
test14,0.4647
test15,0.5771
test16,0.7015
test17,0.3120
test18,0.3100
test19,0.7994
test20,0.7078
test21,0.4261
test22,0.2510
test23,0.0789
test24,0.7193
test25,0.2917
test26,0.8998
test27,0.7790
test28,0.3965
test29,0.4577
test30,0.1075
test31,0.7871
test32,0.8959
test33,0.8176
test34,0.8161
test35,0.6956
test36,0.0630
test37,0.8174
test38,0.6320
test39,0.3474
test40,0.4556
test41,0.9298
test42,0.6671
test43,0.5272
test44,0.5858
test45,0.7117
test46,0.6719
test47,0.7174
test48,0.8230
test49,0.8304
test50,0.7088
test51,0.6441
test52,0.9127
test53,0.5274
test54,0.5005
test55,0.6109
test56,0.7140
test57,0.8077
test58,0.6169
test59,0.1494
test60,0.4544
test61,0.3027
test62,0.8020
test63,0.1836
test64,0.6832
test65,0.9345
test66,0.8010
test67,0.6595
test68,0.6530
test69,0.5648
test70,0.5143
test71,0.4192
test72,0.8378
test73,0.7082
test74,0.5880
test75,0.5302
test76,0.8084
test77,0.8850
test78,0.2823
test79,0.8586
test80,0.8460
test81,0.5397
test82,0.9337
test83,0.1698
test84,0.7465
test85,0.6704
test86,0.8374
test87,0.5637
test88,0.6041
test89,0.4928
test90,0.5152
test91,0.5199
test92,0.8608
test93,0.8386
test94,0.0843
test95,0.7515
test96,0.7834
test97,0.7411
test98,0.8338
test99,0.4400
test100,0.1782
test101,0.8154
test102,0.5824
test103,0.5435
test104,0.7577
test105,0.9118
test106,0.5186
test107,0.9012
test108,0.7830
test109,0.7736
test110,0.3916
test111,0.5837
test112,0.9223
test113,0.9521
test114,0.5286
test115,0.7549
test116,0.5119
test117,0.8346
test118,0.4454
test119,0.8379
test120,0.5567
test121,0.6641
test122,0.8777
test123,0.5566
test124,0.6159
test125,0.4076
test126,0.7224
test127,0.6317
test128,0.7004
test129,0.6083
test130,0.5751
test131,0.1437
test132,0.3659
test133,0.4407
test134,0.7958
test135,0.5325
test136,0.7750
test137,0.5120
test138,0.9211
test139,0.7579
test140,0.7012
test141,0.8292
test142,0.1988
test143,0.6676
test144,0.5907
test145,0.3055
test146,0.7428
test147,0.5815
test148,0.3181
test149,0.4164
test150,0.5391
test151,0.8300
test152,0.5389
test153,0.4751
test154,0.7054
test155,0.3988
test156,0.4230
test157,0.8550
test158,0.8947
test159,0.8825
test160,0.6680
test161,0.6984
test162,0.5215
test163,0.6443
test164,0.4936
test165,0.7701
test166,0.3255
test167,0.2369
test168,0.9511
test169,0.7958
test170,0.3896
test171,0.5408
test172,0.3581
test173,0.3104
test174,0.7036
test175,0.8746
test176,0.7535
test177,0.9229
test178,0.3117
test179,0.8131
test180,0.1285
test181,0.4933
test182,0.5116
test183,0.5496
test184,0.8338
test185,0.7497
test186,0.6090
test187,0.7365
test188,0.4933
test189,0.8287
test190,0.4891
test191,0.5591
test192,0.4668
test193,0.5767
test194,0.6158
test195,0.9028
test196,0.7021
test197,0.9422
test198,0.3627
test199,0.7863
test200,0.6841
test201,0.3826
test202,0.3328
test203,0.6277
test204,0.5077
test205,0.7686
test206,0.8917
test207,0.7132
test208,0.7270
test209,0.5405
test210,0.2672
test211,0.5917
test212,0.6778
test213,0.6627
test214,0.9254
test215,0.4375
test216,0.8395
test217,0.8147
test218,0.8219
test219,0.6640
test220,0.5902
test221,0.4718
test222,0.8663
test223,0.7808
test224,0.6214
test225,0.6907
test226,0.7057
test227,0.5502
test228,0.8744
test229,0.7205
test230,0.8668
test231,0.8063
test232,0.8322
test233,0.8312
test234,0.7019
test235,0.4789
test236,0.3047
test237,0.6772
test238,0.7212
test239,0.3908
test240,0.7531
test241,0.8541
test242,0.4886
test243,0.4168
test244,0.6018
test245,0.2314
test246,0.5499
test247,0.8395
test248,0.6717
test249,0.3650
test250,0.4115
test251,0.3972
test252,0.5485
test253,0.7114
test254,0.6097
test255,0.1765
test256,0.8307
test257,0.0681
test258,0.5341
test259,0.6372
test260,0.5611
test261,0.5572
test262,0.7537
test263,0.6030
test264,0.6942
test265,0.4150
test266,0.4740
test267,0.5232
test268,0.5779
test269,0.8551
test270,0.7470
test271,0.6664
test272,0.6885
test273,0.8963
test274,0.7897
test275,0.8640
test276,0.7826
test277,0.9060
test278,0.5901
test279,0.7001
test280,0.6136
test281,0.7932
test282,0.5343
test283,0.5611
test284,0.7993
test285,0.4395
test286,0.3352
test287,0.5635
test288,0.9415
test289,0.4200
test290,0.6064
test291,0.5945
test292,0.0905
test293,0.7823
test294,0.4807
test295,0.5190
test296,0.8492
test297,0.7824
test298,0.7835
test299,0.1399
test300,0.8022
test301,0.5591
test302,0.7380
test303,0.6051
test304,0.8412
test305,0.8255
test306,0.8039
test307,0.8649
test308,0.9666
test309,0.4704
test310,0.4831
test311,0.4391
test312,0.5684
test313,0.6579
test314,0.7513
test315,0.6841
test316,0.1611
test317,0.7324
test318,0.6536
test319,0.8862
test320,0.4617
test321,0.6919
test322,0.3826
test323,0.7766
test324,0.7254
test325,0.7750
test326,0.7541
test327,0.4220
test328,0.8901
test329,0.8082
test330,0.7596
test331,0.4473
test332,0.8056
test333,0.7540
test334,0.8304
test335,0.9122
test336,0.7618
test337,0.8340
test338,0.8337
test339,0.7141
test340,0.9659
test341,0.8787
test342,0.3277
test343,0.7028
test344,0.5974
test345,0.8386
test346,0.0769
test347,0.3246
test348,0.9457
test349,0.5634
test350,0.5379
test351,0.1288
